"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"07/04/2023 10:00 - 07/04/2023 11:00","BZN|CZ","7588.08","7584.00"
"07/04/2023 11:00 - 07/04/2023 12:00","BZN|CZ","7646.03","7634.00"
"07/04/2023 12:00 - 07/04/2023 13:00","BZN|CZ","7572.32","7569.00"
"07/04/2023 13:00 - 07/04/2023 14:00","BZN|CZ","7451.84","7477.00"
"07/04/2023 14:00 - 07/04/2023 15:00","BZN|CZ","7350.17","7275.00"
"07/04/2023 15:00 - 07/04/2023 16:00","BZN|CZ","7371.37","7271.00"
"07/04/2023 16:00 - 07/04/2023 17:00","BZN|CZ","7245.41","7216.00"
"07/04/2023 17:00 - 07/04/2023 18:00","BZN|CZ","7102.66","7188.00"
"07/04/2023 18:00 - 07/04/2023 19:00","BZN|CZ","6992.68","7182.00"
"07/04/2023 19:00 - 07/04/2023 20:00","BZN|CZ","7008.56","7256.00"
"07/04/2023 20:00 - 07/04/2023 21:00","BZN|CZ","7041.20","7246.00"
"07/04/2023 21:00 - 07/04/2023 22:00","BZN|CZ","6673.66","6907.00"
"07/04/2023 22:00 - 07/04/2023 23:00","BZN|CZ","6415.31","6656.00"
"07/04/2023 23:00 - 08/04/2023 00:00","BZN|CZ","6150.32","6399.00"
"08/04/2023 00:00 - 08/04/2023 01:00","BZN|CZ","5858.04","6220.00"
"08/04/2023 01:00 - 08/04/2023 02:00","BZN|CZ","5797.10","6038.00"
"08/04/2023 02:00 - 08/04/2023 03:00","BZN|CZ","5756.66","6056.00"
"08/04/2023 03:00 - 08/04/2023 04:00","BZN|CZ","5725.66","6041.00"
"08/04/2023 04:00 - 08/04/2023 05:00","BZN|CZ","5816.64","6110.00"
"08/04/2023 05:00 - 08/04/2023 06:00","BZN|CZ","5856.22","6241.00"
"08/04/2023 06:00 - 08/04/2023 07:00","BZN|CZ","6002.74","6514.00"
"08/04/2023 07:00 - 08/04/2023 08:00","BZN|CZ","6404.51","6904.00"
"08/04/2023 08:00 - 08/04/2023 09:00","BZN|CZ","6788.87","7256.00"
"08/04/2023 09:00 - 08/04/2023 10:00","BZN|CZ","7146.79","7644.00"
"08/04/2023 10:00 - 08/04/2023 11:00","BZN|CZ","7530.87","7905.00"
"08/04/2023 11:00 - 08/04/2023 12:00","BZN|CZ","7595.43","8017.00"
"08/04/2023 12:00 - 08/04/2023 13:00","BZN|CZ","7462.17","7847.00"
"08/04/2023 13:00 - 08/04/2023 14:00","BZN|CZ","7355.47","7714.00"
"08/04/2023 14:00 - 08/04/2023 15:00","BZN|CZ","7225.34","7436.00"
"08/04/2023 15:00 - 08/04/2023 16:00","BZN|CZ","7186.15","7331.00"
"08/04/2023 16:00 - 08/04/2023 17:00","BZN|CZ","7033.61","7161.00"
"08/04/2023 17:00 - 08/04/2023 18:00","BZN|CZ","6847.48","6989.00"
"08/04/2023 18:00 - 08/04/2023 19:00","BZN|CZ","6782.99","6924.00"
"08/04/2023 19:00 - 08/04/2023 20:00","BZN|CZ","6811.60","6979.00"
"08/04/2023 20:00 - 08/04/2023 21:00","BZN|CZ","6921.91","7062.00"
"08/04/2023 21:00 - 08/04/2023 22:00","BZN|CZ","6556.87","6776.00"
"08/04/2023 22:00 - 08/04/2023 23:00","BZN|CZ","6292.34","6555.00"
"08/04/2023 23:00 - 09/04/2023 00:00","BZN|CZ","6039.57","6243.00"
"09/04/2023 00:00 - 09/04/2023 01:00","BZN|CZ","5659.77","5902.00"
"09/04/2023 01:00 - 09/04/2023 02:00","BZN|CZ","5597.01","5837.00"
"09/04/2023 02:00 - 09/04/2023 03:00","BZN|CZ","5659.12","5865.00"
"09/04/2023 03:00 - 09/04/2023 04:00","BZN|CZ","5633.98","5893.00"
"09/04/2023 04:00 - 09/04/2023 05:00","BZN|CZ","5673.05","5899.00"
"09/04/2023 05:00 - 09/04/2023 06:00","BZN|CZ","5692.30","5879.00"
"09/04/2023 06:00 - 09/04/2023 07:00","BZN|CZ","5806.03","5985.00"
"09/04/2023 07:00 - 09/04/2023 08:00","BZN|CZ","6167.02","6370.00"
"09/04/2023 08:00 - 09/04/2023 09:00","BZN|CZ","6544.39","6695.00"
"09/04/2023 09:00 - 09/04/2023 10:00","BZN|CZ","6895.58","7093.00"
"09/04/2023 10:00 - 09/04/2023 11:00","BZN|CZ","7265.11","7362.00"
"09/04/2023 11:00 - 09/04/2023 12:00","BZN|CZ","7284.76","7459.00"
"09/04/2023 12:00 - 09/04/2023 13:00","BZN|CZ","7069.87","7299.00"
"09/04/2023 13:00 - 09/04/2023 14:00","BZN|CZ","6978.72","7213.00"
"09/04/2023 14:00 - 09/04/2023 15:00","BZN|CZ","6917.81","7091.00"
"09/04/2023 15:00 - 09/04/2023 16:00","BZN|CZ","6910.06","7006.00"
"09/04/2023 16:00 - 09/04/2023 17:00","BZN|CZ","6797.98","6910.00"
"09/04/2023 17:00 - 09/04/2023 18:00","BZN|CZ","6657.50","6812.00"
"09/04/2023 18:00 - 09/04/2023 19:00","BZN|CZ","6617.64","6897.00"
"09/04/2023 19:00 - 09/04/2023 20:00","BZN|CZ","6648.85","7030.00"
"09/04/2023 20:00 - 09/04/2023 21:00","BZN|CZ","6817.74","7178.00"
"09/04/2023 21:00 - 09/04/2023 22:00","BZN|CZ","6433.72","6890.00"
"09/04/2023 22:00 - 09/04/2023 23:00","BZN|CZ","6192.62","6787.00"
"09/04/2023 23:00 - 10/04/2023 00:00","BZN|CZ","5886.83","6502.00"
"10/04/2023 00:00 - 10/04/2023 01:00","BZN|CZ","5462.50","5468.00"
"10/04/2023 01:00 - 10/04/2023 02:00","BZN|CZ","5377.85","5364.00"
"10/04/2023 02:00 - 10/04/2023 03:00","BZN|CZ","5405.11","5376.00"
"10/04/2023 03:00 - 10/04/2023 04:00","BZN|CZ","5411.33","5339.00"
"10/04/2023 04:00 - 10/04/2023 05:00","BZN|CZ","5467.94","5410.00"
"10/04/2023 05:00 - 10/04/2023 06:00","BZN|CZ","5536.51","5517.00"
"10/04/2023 06:00 - 10/04/2023 07:00","BZN|CZ","5642.93","5736.00"
"10/04/2023 07:00 - 10/04/2023 08:00","BZN|CZ","6083.23","6069.00"
"10/04/2023 08:00 - 10/04/2023 09:00","BZN|CZ","6136.69","6287.00"
"10/04/2023 09:00 - 10/04/2023 10:00","BZN|CZ","6169.32","6449.00"
"10/04/2023 10:00 - 10/04/2023 11:00","BZN|CZ","6333.81","6458.00"
"10/04/2023 11:00 - 10/04/2023 12:00","BZN|CZ","6353.82","6510.00"
"10/04/2023 12:00 - 10/04/2023 13:00","BZN|CZ","6175.27","6473.00"
"10/04/2023 13:00 - 10/04/2023 14:00","BZN|CZ","5946.14","6418.00"
"10/04/2023 14:00 - 10/04/2023 15:00","BZN|CZ","5944.30","6270.00"
"10/04/2023 15:00 - 10/04/2023 16:00","BZN|CZ","5992.22","6213.00"
"10/04/2023 16:00 - 10/04/2023 17:00","BZN|CZ","5919.40","6155.00"
"10/04/2023 17:00 - 10/04/2023 18:00","BZN|CZ","5869.44","6159.00"
"10/04/2023 18:00 - 10/04/2023 19:00","BZN|CZ","6024.74","6234.00"
"10/04/2023 19:00 - 10/04/2023 20:00","BZN|CZ","6287.34","6457.00"
"10/04/2023 20:00 - 10/04/2023 21:00","BZN|CZ","6621.18","6650.00"
"10/04/2023 21:00 - 10/04/2023 22:00","BZN|CZ","6280.54","6414.00"
"10/04/2023 22:00 - 10/04/2023 23:00","BZN|CZ","6169.40","6252.00"
"10/04/2023 23:00 - 11/04/2023 00:00","BZN|CZ","5971.97","6004.00"
"11/04/2023 00:00 - 11/04/2023 01:00","BZN|CZ","5853.19","5991.00"
"11/04/2023 01:00 - 11/04/2023 02:00","BZN|CZ","5906.67","5968.00"
"11/04/2023 02:00 - 11/04/2023 03:00","BZN|CZ","5810.04","5936.00"
"11/04/2023 03:00 - 11/04/2023 04:00","BZN|CZ","5836.58","5889.00"
"11/04/2023 04:00 - 11/04/2023 05:00","BZN|CZ","5966.00","6050.00"
"11/04/2023 05:00 - 11/04/2023 06:00","BZN|CZ","6541.06","6570.00"
"11/04/2023 06:00 - 11/04/2023 07:00","BZN|CZ","7678.03","7563.00"
"11/04/2023 07:00 - 11/04/2023 08:00","BZN|CZ","8185.21","8115.00"
"11/04/2023 08:00 - 11/04/2023 09:00","BZN|CZ","8399.17","8292.00"
"11/04/2023 09:00 - 11/04/2023 10:00","BZN|CZ","8554.21","8465.00"
"11/04/2023 10:00 - 11/04/2023 11:00","BZN|CZ","8519.93","8493.00"
"11/04/2023 11:00 - 11/04/2023 12:00","BZN|CZ","8489.58","8448.00"
"11/04/2023 12:00 - 11/04/2023 13:00","BZN|CZ","8593.77","8461.00"
"11/04/2023 13:00 - 11/04/2023 14:00","BZN|CZ","8513.78","8412.00"
"11/04/2023 14:00 - 11/04/2023 15:00","BZN|CZ","8315.77","8221.00"
"11/04/2023 15:00 - 11/04/2023 16:00","BZN|CZ","8341.32","8154.00"
"11/04/2023 16:00 - 11/04/2023 17:00","BZN|CZ","8226.12","8067.00"
"11/04/2023 17:00 - 11/04/2023 18:00","BZN|CZ","8098.44","7990.00"
"11/04/2023 18:00 - 11/04/2023 19:00","BZN|CZ","7914.56","7859.00"
"11/04/2023 19:00 - 11/04/2023 20:00","BZN|CZ","7962.79","7952.00"
"11/04/2023 20:00 - 11/04/2023 21:00","BZN|CZ","7945.73","7838.00"
"11/04/2023 21:00 - 11/04/2023 22:00","BZN|CZ","7530.77","7443.00"
"11/04/2023 22:00 - 11/04/2023 23:00","BZN|CZ","7198.88","7096.00"
"11/04/2023 23:00 - 12/04/2023 00:00","BZN|CZ","6832.94","6737.00"
"12/04/2023 00:00 - 12/04/2023 01:00","BZN|CZ","6561.02","6517.00"
"12/04/2023 01:00 - 12/04/2023 02:00","BZN|CZ","6614.35","6579.00"
"12/04/2023 02:00 - 12/04/2023 03:00","BZN|CZ","6446.58","6473.00"
"12/04/2023 03:00 - 12/04/2023 04:00","BZN|CZ","6383.96","6417.00"
"12/04/2023 04:00 - 12/04/2023 05:00","BZN|CZ","6583.80","6555.00"
"12/04/2023 05:00 - 12/04/2023 06:00","BZN|CZ","7141.18","7095.00"
"12/04/2023 06:00 - 12/04/2023 07:00","BZN|CZ","8166.81","8129.00"
"12/04/2023 07:00 - 12/04/2023 08:00","BZN|CZ","8567.41","8566.00"
"12/04/2023 08:00 - 12/04/2023 09:00","BZN|CZ","8567.56","8625.00"
"12/04/2023 09:00 - 12/04/2023 10:00","BZN|CZ","8503.52","8530.00"
"12/04/2023 10:00 - 12/04/2023 11:00","BZN|CZ","8291.33","8418.00"
"12/04/2023 11:00 - 12/04/2023 12:00","BZN|CZ","8146.07","8337.00"
"12/04/2023 12:00 - 12/04/2023 13:00","BZN|CZ","8140.83","8302.00"
"12/04/2023 13:00 - 12/04/2023 14:00","BZN|CZ","8030.88","8161.00"
"12/04/2023 14:00 - 12/04/2023 15:00","BZN|CZ","7844.10","8013.00"
"12/04/2023 15:00 - 12/04/2023 16:00","BZN|CZ","7823.03","7999.00"
"12/04/2023 16:00 - 12/04/2023 17:00","BZN|CZ","7824.35","7893.00"
"12/04/2023 17:00 - 12/04/2023 18:00","BZN|CZ","7857.32","7817.00"
"12/04/2023 18:00 - 12/04/2023 19:00","BZN|CZ","7830.70","7744.00"
"12/04/2023 19:00 - 12/04/2023 20:00","BZN|CZ","7944.19","7880.00"
"12/04/2023 20:00 - 12/04/2023 21:00","BZN|CZ","7977.65","7937.00"
"12/04/2023 21:00 - 12/04/2023 22:00","BZN|CZ","7501.45","7479.00"
"12/04/2023 22:00 - 12/04/2023 23:00","BZN|CZ","7093.09","7100.00"
"12/04/2023 23:00 - 13/04/2023 00:00","BZN|CZ","6692.13","6707.00"
"13/04/2023 00:00 - 13/04/2023 01:00","BZN|CZ","6375.78","6470.00"
"13/04/2023 01:00 - 13/04/2023 02:00","BZN|CZ","6383.50","6513.00"
"13/04/2023 02:00 - 13/04/2023 03:00","BZN|CZ","6232.66","6352.00"
"13/04/2023 03:00 - 13/04/2023 04:00","BZN|CZ","6215.12","6222.00"
"13/04/2023 04:00 - 13/04/2023 05:00","BZN|CZ","6364.00","6360.00"
"13/04/2023 05:00 - 13/04/2023 06:00","BZN|CZ","6851.53","6835.00"
"13/04/2023 06:00 - 13/04/2023 07:00","BZN|CZ","7855.29","7804.00"
"13/04/2023 07:00 - 13/04/2023 08:00","BZN|CZ","8326.55","8298.00"
"13/04/2023 08:00 - 13/04/2023 09:00","BZN|CZ","8503.24","8466.00"
"13/04/2023 09:00 - 13/04/2023 10:00","BZN|CZ","8645.03","8616.00"
"13/04/2023 10:00 - 13/04/2023 11:00","BZN|CZ","8559.77","8564.00"
"13/04/2023 11:00 - 13/04/2023 12:00","BZN|CZ","8539.98","8537.00"
"13/04/2023 12:00 - 13/04/2023 13:00","BZN|CZ","8583.78","8549.00"
"13/04/2023 13:00 - 13/04/2023 14:00","BZN|CZ","8521.39","8459.00"
"13/04/2023 14:00 - 13/04/2023 15:00","BZN|CZ","8339.49","8241.00"
"13/04/2023 15:00 - 13/04/2023 16:00","BZN|CZ","8293.99","8230.00"
"13/04/2023 16:00 - 13/04/2023 17:00","BZN|CZ","8216.32","8123.00"
"13/04/2023 17:00 - 13/04/2023 18:00","BZN|CZ","8187.07","8016.00"
"13/04/2023 18:00 - 13/04/2023 19:00","BZN|CZ","8046.93","7917.00"
"13/04/2023 19:00 - 13/04/2023 20:00","BZN|CZ","8073.71","7961.00"
"13/04/2023 20:00 - 13/04/2023 21:00","BZN|CZ","7994.25","7879.00"
"13/04/2023 21:00 - 13/04/2023 22:00","BZN|CZ","7547.04","7439.00"
"13/04/2023 22:00 - 13/04/2023 23:00","BZN|CZ","7185.44","7071.00"
"13/04/2023 23:00 - 14/04/2023 00:00","BZN|CZ","6747.45","6686.00"
"14/04/2023 00:00 - 14/04/2023 01:00","BZN|CZ","6413.10","6351.00"
"14/04/2023 01:00 - 14/04/2023 02:00","BZN|CZ","6423.81","6354.00"
"14/04/2023 02:00 - 14/04/2023 03:00","BZN|CZ","6301.05","6237.00"
"14/04/2023 03:00 - 14/04/2023 04:00","BZN|CZ","6211.98","6172.00"
"14/04/2023 04:00 - 14/04/2023 05:00","BZN|CZ","6355.53","6327.00"
"14/04/2023 05:00 - 14/04/2023 06:00","BZN|CZ","6812.57","6792.00"
"14/04/2023 06:00 - 14/04/2023 07:00","BZN|CZ","7853.82","7775.00"
"14/04/2023 07:00 - 14/04/2023 08:00","BZN|CZ","8387.58","8302.00"
"14/04/2023 08:00 - 14/04/2023 09:00","BZN|CZ","8601.05","8492.00"
"14/04/2023 09:00 - 14/04/2023 10:00","BZN|CZ","8777.42","8677.00"
"14/04/2023 10:00 - 14/04/2023 11:00","BZN|CZ","8735.72","8664.00"
"14/04/2023 11:00 - 14/04/2023 12:00","BZN|CZ","8751.04","8683.00"
"14/04/2023 12:00 - 14/04/2023 13:00","BZN|CZ","8735.46","8675.00"
"14/04/2023 13:00 - 14/04/2023 14:00","BZN|CZ","8727.79","8574.00"
"14/04/2023 14:00 - 14/04/2023 15:00","BZN|CZ","8519.75","8358.00"
"14/04/2023 15:00 - 14/04/2023 16:00","BZN|CZ","8507.92","8305.00"
"14/04/2023 16:00 - 14/04/2023 17:00","BZN|CZ","8376.40","8225.00"
"14/04/2023 17:00 - 14/04/2023 18:00","BZN|CZ","8274.00","8127.00"
"14/04/2023 18:00 - 14/04/2023 19:00","BZN|CZ","7986.32","7968.00"
"14/04/2023 19:00 - 14/04/2023 20:00","BZN|CZ","7914.06","7980.00"
"14/04/2023 20:00 - 14/04/2023 21:00","BZN|CZ","7719.60","7702.00"
"14/04/2023 21:00 - 14/04/2023 22:00","BZN|CZ","7233.98","7194.00"
"14/04/2023 22:00 - 14/04/2023 23:00","BZN|CZ","6760.08","6762.00"
"14/04/2023 23:00 - 15/04/2023 00:00","BZN|CZ","6412.12","6339.00"
"15/04/2023 00:00 - 15/04/2023 01:00","BZN|CZ","6100.09","5987.00"
"15/04/2023 01:00 - 15/04/2023 02:00","BZN|CZ","5960.18","5900.00"
"15/04/2023 02:00 - 15/04/2023 03:00","BZN|CZ","5913.38","5835.00"
"15/04/2023 03:00 - 15/04/2023 04:00","BZN|CZ","5911.03","5763.00"
"15/04/2023 04:00 - 15/04/2023 05:00","BZN|CZ","5965.94","5818.00"
"15/04/2023 05:00 - 15/04/2023 06:00","BZN|CZ","6006.20","5891.00"
"15/04/2023 06:00 - 15/04/2023 07:00","BZN|CZ","6196.87","6155.00"
"15/04/2023 07:00 - 15/04/2023 08:00","BZN|CZ","6617.30","6583.00"
"15/04/2023 08:00 - 15/04/2023 09:00","BZN|CZ","6990.66","6936.00"
"15/04/2023 09:00 - 15/04/2023 10:00","BZN|CZ","7327.49","7294.00"
"15/04/2023 10:00 - 15/04/2023 11:00","BZN|CZ","7612.11","7502.00"
"15/04/2023 11:00 - 15/04/2023 12:00","BZN|CZ","7705.91","7591.00"
"15/04/2023 12:00 - 15/04/2023 13:00","BZN|CZ","7582.50","7408.00"
"15/04/2023 13:00 - 15/04/2023 14:00","BZN|CZ","7455.74","7264.00"
"15/04/2023 14:00 - 15/04/2023 15:00","BZN|CZ","7247.10","7030.00"
"15/04/2023 15:00 - 15/04/2023 16:00","BZN|CZ","7107.93","6950.00"
"15/04/2023 16:00 - 15/04/2023 17:00","BZN|CZ","6889.75","6802.00"
"15/04/2023 17:00 - 15/04/2023 18:00","BZN|CZ","6680.34","6620.00"
"15/04/2023 18:00 - 15/04/2023 19:00","BZN|CZ","6639.52","6584.00"
"15/04/2023 19:00 - 15/04/2023 20:00","BZN|CZ","6719.46","6602.00"
"15/04/2023 20:00 - 15/04/2023 21:00","BZN|CZ","6911.41","6710.00"
"15/04/2023 21:00 - 15/04/2023 22:00","BZN|CZ","6576.72","6392.00"
"15/04/2023 22:00 - 15/04/2023 23:00","BZN|CZ","6322.67","6154.00"
"15/04/2023 23:00 - 16/04/2023 00:00","BZN|CZ","6064.15","5849.00"
"16/04/2023 00:00 - 16/04/2023 01:00","BZN|CZ","5676.88","5616.00"
"16/04/2023 01:00 - 16/04/2023 02:00","BZN|CZ","5536.65","5526.00"
"16/04/2023 02:00 - 16/04/2023 03:00","BZN|CZ","5554.26","5504.00"
"16/04/2023 03:00 - 16/04/2023 04:00","BZN|CZ","5589.55","5489.00"
"16/04/2023 04:00 - 16/04/2023 05:00","BZN|CZ","5626.92","5522.00"
"16/04/2023 05:00 - 16/04/2023 06:00","BZN|CZ","5632.09","5519.00"
"16/04/2023 06:00 - 16/04/2023 07:00","BZN|CZ","5760.91","5653.00"
"16/04/2023 07:00 - 16/04/2023 08:00","BZN|CZ","6094.30","6040.00"
"16/04/2023 08:00 - 16/04/2023 09:00","BZN|CZ","6439.29","6377.00"
"16/04/2023 09:00 - 16/04/2023 10:00","BZN|CZ","6745.48","6759.00"
"16/04/2023 10:00 - 16/04/2023 11:00","BZN|CZ","7019.61","7013.00"
"16/04/2023 11:00 - 16/04/2023 12:00","BZN|CZ","7061.14","7083.00"
"16/04/2023 12:00 - 16/04/2023 13:00","BZN|CZ","6857.73","6905.00"
"16/04/2023 13:00 - 16/04/2023 14:00","BZN|CZ","6701.17","6819.00"
"16/04/2023 14:00 - 16/04/2023 15:00","BZN|CZ","6601.43","6684.00"
"16/04/2023 15:00 - 16/04/2023 16:00","BZN|CZ","6592.24","6674.00"
"16/04/2023 16:00 - 16/04/2023 17:00","BZN|CZ","6490.27","6589.00"
"16/04/2023 17:00 - 16/04/2023 18:00","BZN|CZ","6438.40","6497.00"
"16/04/2023 18:00 - 16/04/2023 19:00","BZN|CZ","6623.00","6600.00"
"16/04/2023 19:00 - 16/04/2023 20:00","BZN|CZ","6815.24","6721.00"
"16/04/2023 20:00 - 16/04/2023 21:00","BZN|CZ","7073.18","7010.00"
"16/04/2023 21:00 - 16/04/2023 22:00","BZN|CZ","6754.93","6736.00"
"16/04/2023 22:00 - 16/04/2023 23:00","BZN|CZ","6654.49","6631.00"
"16/04/2023 23:00 - 17/04/2023 00:00","BZN|CZ","6435.60","6360.00"
"17/04/2023 00:00 - 17/04/2023 01:00","BZN|CZ","6245.33","6117.00"
"17/04/2023 01:00 - 17/04/2023 02:00","BZN|CZ","6306.74","6146.00"
"17/04/2023 02:00 - 17/04/2023 03:00","BZN|CZ","6162.38","6034.00"
"17/04/2023 03:00 - 17/04/2023 04:00","BZN|CZ","6127.26","5981.00"
"17/04/2023 04:00 - 17/04/2023 05:00","BZN|CZ","6277.22","6111.00"
"17/04/2023 05:00 - 17/04/2023 06:00","BZN|CZ","6810.23","6619.00"
"17/04/2023 06:00 - 17/04/2023 07:00","BZN|CZ","7822.56","7662.00"
"17/04/2023 07:00 - 17/04/2023 08:00","BZN|CZ","8300.06","8140.00"
"17/04/2023 08:00 - 17/04/2023 09:00","BZN|CZ","8402.73","8267.00"
"17/04/2023 09:00 - 17/04/2023 10:00","BZN|CZ","8492.79","8323.00"
"17/04/2023 10:00 - 17/04/2023 11:00","BZN|CZ","8371.64","8218.00"
"17/04/2023 11:00 - 17/04/2023 12:00","BZN|CZ","8332.06","8190.00"
"17/04/2023 12:00 - 17/04/2023 13:00","BZN|CZ","8390.86","8253.00"
"17/04/2023 13:00 - 17/04/2023 14:00","BZN|CZ","8250.62","8178.00"
"17/04/2023 14:00 - 17/04/2023 15:00","BZN|CZ","8035.71","7981.00"
"17/04/2023 15:00 - 17/04/2023 16:00","BZN|CZ","8017.94","7971.00"
"17/04/2023 16:00 - 17/04/2023 17:00","BZN|CZ","7960.33","7911.00"
"17/04/2023 17:00 - 17/04/2023 18:00","BZN|CZ","7969.80","7863.00"
"17/04/2023 18:00 - 17/04/2023 19:00","BZN|CZ","7907.28","7793.00"
"17/04/2023 19:00 - 17/04/2023 20:00","BZN|CZ","7992.03","7889.00"
"17/04/2023 20:00 - 17/04/2023 21:00","BZN|CZ","7942.78","7872.00"
"17/04/2023 21:00 - 17/04/2023 22:00","BZN|CZ","7525.47","7435.00"
"17/04/2023 22:00 - 17/04/2023 23:00","BZN|CZ","7141.90","7046.00"
"17/04/2023 23:00 - 18/04/2023 00:00","BZN|CZ","6651.12","6628.00"
"18/04/2023 00:00 - 18/04/2023 01:00","BZN|CZ","6360.43","6320.00"
"18/04/2023 01:00 - 18/04/2023 02:00","BZN|CZ","6379.78","6308.00"
"18/04/2023 02:00 - 18/04/2023 03:00","BZN|CZ","6247.88","6202.00"
"18/04/2023 03:00 - 18/04/2023 04:00","BZN|CZ","6186.33","6152.00"
"18/04/2023 04:00 - 18/04/2023 05:00","BZN|CZ","6290.58","6279.00"
"18/04/2023 05:00 - 18/04/2023 06:00","BZN|CZ","6746.46","6745.00"
"18/04/2023 06:00 - 18/04/2023 07:00","BZN|CZ","7659.36","7715.00"
"18/04/2023 07:00 - 18/04/2023 08:00","BZN|CZ","8213.91","8177.00"
"18/04/2023 08:00 - 18/04/2023 09:00","BZN|CZ","8359.81","8348.00"
"18/04/2023 09:00 - 18/04/2023 10:00","BZN|CZ","8493.88","8483.00"
"18/04/2023 10:00 - 18/04/2023 11:00","BZN|CZ","8456.58","8432.00"
"18/04/2023 11:00 - 18/04/2023 12:00","BZN|CZ","8455.01","8429.00"
"18/04/2023 12:00 - 18/04/2023 13:00","BZN|CZ","8489.26","8413.00"
"18/04/2023 13:00 - 18/04/2023 14:00","BZN|CZ","8371.02","8309.00"
"18/04/2023 14:00 - 18/04/2023 15:00","BZN|CZ","8158.02","8070.00"
"18/04/2023 15:00 - 18/04/2023 16:00","BZN|CZ","8096.74","8019.00"
"18/04/2023 16:00 - 18/04/2023 17:00","BZN|CZ","7973.22","7931.00"
"18/04/2023 17:00 - 18/04/2023 18:00","BZN|CZ","7960.51","7849.00"
"18/04/2023 18:00 - 18/04/2023 19:00","BZN|CZ","7882.64","7750.00"
"18/04/2023 19:00 - 18/04/2023 20:00","BZN|CZ","7950.85","7812.00"
"18/04/2023 20:00 - 18/04/2023 21:00","BZN|CZ","7942.24","7808.00"
"18/04/2023 21:00 - 18/04/2023 22:00","BZN|CZ","7509.28","7373.00"
"18/04/2023 22:00 - 18/04/2023 23:00","BZN|CZ","7101.80","6977.00"
"18/04/2023 23:00 - 19/04/2023 00:00","BZN|CZ","6694.56","6567.00"
"19/04/2023 00:00 - 19/04/2023 01:00","BZN|CZ","6453.30","6314.00"
"19/04/2023 01:00 - 19/04/2023 02:00","BZN|CZ","6376.49","6311.00"
"19/04/2023 02:00 - 19/04/2023 03:00","BZN|CZ","6165.85","6175.00"
"19/04/2023 03:00 - 19/04/2023 04:00","BZN|CZ","6085.43","6118.00"
"19/04/2023 04:00 - 19/04/2023 05:00","BZN|CZ","6256.78","6242.00"
"19/04/2023 05:00 - 19/04/2023 06:00","BZN|CZ","6794.81","6710.00"
"19/04/2023 06:00 - 19/04/2023 07:00","BZN|CZ","7813.31","7683.00"
"19/04/2023 07:00 - 19/04/2023 08:00","BZN|CZ","8386.11","8210.00"
"19/04/2023 08:00 - 19/04/2023 09:00","BZN|CZ","8583.76","8405.00"
"19/04/2023 09:00 - 19/04/2023 10:00","BZN|CZ","8740.54","8531.00"
"19/04/2023 10:00 - 19/04/2023 11:00","BZN|CZ","8612.02","8488.00"
"19/04/2023 11:00 - 19/04/2023 12:00","BZN|CZ","8541.63","8441.00"
"19/04/2023 12:00 - 19/04/2023 13:00","BZN|CZ","8527.38","8442.00"
"19/04/2023 13:00 - 19/04/2023 14:00","BZN|CZ","8470.59","8343.00"
"19/04/2023 14:00 - 19/04/2023 15:00","BZN|CZ","8230.31","8129.00"
"19/04/2023 15:00 - 19/04/2023 16:00","BZN|CZ","8194.00","8081.00"
"19/04/2023 16:00 - 19/04/2023 17:00","BZN|CZ","8133.91","7985.00"
"19/04/2023 17:00 - 19/04/2023 18:00","BZN|CZ","8094.83","7923.00"
"19/04/2023 18:00 - 19/04/2023 19:00","BZN|CZ","8000.82","7864.00"
"19/04/2023 19:00 - 19/04/2023 20:00","BZN|CZ","8053.09","7940.00"
"19/04/2023 20:00 - 19/04/2023 21:00","BZN|CZ","7990.82","7932.00"
"19/04/2023 21:00 - 19/04/2023 22:00","BZN|CZ","7592.16","7516.00"
"19/04/2023 22:00 - 19/04/2023 23:00","BZN|CZ","7228.25","7145.00"
"19/04/2023 23:00 - 20/04/2023 00:00","BZN|CZ","6772.95","6736.00"
"20/04/2023 00:00 - 20/04/2023 01:00","BZN|CZ","6524.58","6496.00"
"20/04/2023 01:00 - 20/04/2023 02:00","BZN|CZ","6559.70","6516.00"
"20/04/2023 02:00 - 20/04/2023 03:00","BZN|CZ","6381.02","6389.00"
"20/04/2023 03:00 - 20/04/2023 04:00","BZN|CZ","6336.76","6328.00"
"20/04/2023 04:00 - 20/04/2023 05:00","BZN|CZ","6515.35","6474.00"
"20/04/2023 05:00 - 20/04/2023 06:00","BZN|CZ","7007.89","6949.00"
"20/04/2023 06:00 - 20/04/2023 07:00","BZN|CZ","7973.37","7928.00"
"20/04/2023 07:00 - 20/04/2023 08:00","BZN|CZ","8507.34","8385.00"
"20/04/2023 08:00 - 20/04/2023 09:00","BZN|CZ","8653.35","8542.00"
"20/04/2023 09:00 - 20/04/2023 10:00","BZN|CZ","8765.53","8630.00"
"20/04/2023 10:00 - 20/04/2023 11:00","BZN|CZ","8641.38","8526.00"
"20/04/2023 11:00 - 20/04/2023 12:00","BZN|CZ","8510.01","8472.00"
"20/04/2023 12:00 - 20/04/2023 13:00","BZN|CZ","8446.78","8476.00"
"20/04/2023 13:00 - 20/04/2023 14:00","BZN|CZ","8277.51","8394.00"
"20/04/2023 14:00 - 20/04/2023 15:00","BZN|CZ","8031.47","8177.00"
